YEAR,Month,INCIDENT NAME,TOTAL VICTIMS,TOTAL VICTIMS,LOCATION,INJURED,INJURED,DEATH,DEATH,ATTACK TYPE,PERPETRATOR,TARGET
2001,oct,Bahawalpur church Shooting,Low,18,Bahawalpur,Low,0,Low,18,Mass shooting,Lashkar e janghvi,Christians
2002,may,Karachi Bus bombing,Low,54,karachi,Low,40,Low,14,Suicide Bombing,Al-Qaeda,French People
2003,Jul,Quetta Mosque bombing,Low,118,Quetta,Low,65,Low,53,Suicide Bombing,Lashkar e janghvi,Shia Community
2004,mar,Quetta Ashura Massacre,Low,149,Quetta,Low,100,Low,49,Rocket Attack,Lashkar e janghvi,Shia Community
2004,oct,multan bombing,Low,140,multan,Low,100,Low,40,car bombing,,mourners
2005,oct,mong shootings,Low,28,mandi bahauddin district,Low,20,Low,8,shooting,,ahmediyya muslim community
2006,nov,jamat ahle sunnat,Low,143,karachi,Low,80,Medium,63,bomb attack,Lashkar e janghvi,jamat ahle sunnat
2006,nov,dargai bombing,Low,62,kpk,Low,20,Low,42,Suicide Bombing,taliban,punjab regiment
2007,jan,dera ismail khan suicide bombing,Low,9,kpk,Low,7,Low,2,Suicide Bombing,,Shia Community
2007,apr,charasadda bombing,Low,3,kpk,Low,1,Low,2,Suicide Bombing,,Shia Community
2007,aug,parachinar bombing,Low,55,parachinar,Low,43,Low,12,car bombing,Ghayoor Khan Chamkani,market
2007,apr,makran massacre,Low,14,makran,Low,0,Low,14,shooting,baloch militants,Security personnel and locals
2007,apr,quetta bombing,Low,70,quetta,Low,48,Low,22,suicide bombing,Lashkar-e-Jhangvi,Hazaras
2007,may,lahore bombing,Low,37,lahore,Low,24,Low,13,suicide bombing,jamat ul ahrar,Shia Community
2007,may,pearl continental hotel balochistan,Low,14,balochistan,Low,6,Low,8,shooting,balochistan liberation army,Chinese tourists
2007,sep,namrita chandani,Low,1,ghotki ,Low,0,Low,1,,,Namrita Chandani
2007,may ,North waziristan Suicide Bombing,Low,4,North waziristan,Low,0,Low,4,Suicide bombing,Jaish Fursan Muhammad,security checkpoint
2007,Jul,Khar Bombing,Medium,263,Khar,Medium,200,Medium,63,suicide bombing,IS-KP,jamiat ulema e Islam
2007,august,North waziristan Landmine Bombing,Low,13,North waziristan,Low,2,Low,11,Terrorist Attack,ISIL,Laborers
2007,sep,Matsung Bombing,Low,130,Matsung District,Low,70,Low,60,suicide bombing,ISIL,Eid Milad-ul-Nabi procession
2007,sep,hangu Mosque Bombing,Low,17,Hangu,Low,12,Low,5,suicide bombing,,Mosque
2007,nov,Dera Ismail Bombing,Low,25,Dera Ismail Khan ,Low,20,Low,5,Bombing,,KPK police
2007,nov,Gwadar Ambush,Low,14,Gwadar District,Low,0,Low,14,Ambush,balochistan liberation army,Soldiers
2007,jan,quetta bombing,Low,34,quetta,Low,19,Low,15,suicide bombing,islamic state of Iraq and the levant,Talibun run mosque
2007,feb,quetta bombing,Low,45,quetta,Low,35,Low,10,suicide bombing,,
2007,jun,pakistan stock exchange,Low,15,karachi,Low,7,Low,8,mass shooting,balochistan liberation army,Pakistan Stock Exchange
2007,aug,hayat baloch,Low,1,"turbat,kech district",Low,0,Low,1,extrajudical killing,Shadiullah,Hayat Baloch
2007,sep,rawalpindi bombing,Low,93,rawalpindi,Low,68,Low,25,suicide bombing,baitullah mehsud,bus
2007,oct,karsaaz bombing,High,680,karachi,High,500,High,180,Suicide Bombing,,benazir bhutto's supporters
2007,dec,charasadda mosque bombing,Low,150,kpk,Low,100,Low,50,Suicide Bombing,,mosque
2007,dec,assassination of benazir bhutto,Low,24,rawalpindi,Low,0,Low,24,target killing,tehreek e taliban,benazir bhutto
2008,feb,charsadda bombing,Low,77,kpk,Low,50,Low,27,suicide bombing,,Awami National Party
2008,feb,parachinar bombing,Low,220,parachinar,Low,150,Medium,70,suicide attack,,riaz shah
2008,feb,Mingora funeral Bombing,Low,40,swat District,Low,0,Low,40,Suicide Bombing,,Funeral
2008,Jun,Danish Embassy Bombing,Low,29,Islamabad,Low,24,Low,5,Suicide Bombing,Al-Qaeda,danish embassy
